mol_number,input_smiles,predicted_pKa,ionization_center,protonated_smiles,label,proposed_center,ionization_states
1,C[n+]1c(/C=C/c(cc2)ccc2O)cccc1,10.143442,4,C[n+]1c(/C=N/[O-])cccc1,0,6,"[[4], [], [], [], [5], [], [], []]"
1,C[n+]1c(/C=C/c(cc2)ccc2O)cccc1,7.050751,5,C[n+]1c(/C=[NH+]/[O-])cccc1,0,5,"[[], [4], [], [], [5], [], [], []]"
1,C[n+]1c(/C=C/c(cc2)ccc2O)cccc1,1.5928793,6,C[n+]1c(/C=[NH+]/[OH])cccc1,0,6,"[[], [4], [], [], [], [5], [], []]"
2,C[n+]1ccc(/C=N/O)cc1,10.447524,12,C[n+]1c(/[C-]=C/c(cc2)ccc2[OH])cccc1,0,12,"[[], [], [], [], [], [11], [3], []]"
3,C[n+](cccc1)c1O,9.478245,8,C[n+]1ccc(/C=N/[OH])cc1,0,8,"[[6], [], [], [], [], [7], [], []]"
3,C[n+](cccc1)c1O,2.231091,7,C[n+]1ccc(/C=[NH+]/[OH])cc1,0,9,"[[], [6], [], [], [], [7], [], []]"
4,O/N=C/c1ccccc1,1.3235087,8,C[n+](cccc1)c1[OH],0,8,"[[[], [], [], [], [], [7], [], []]]"
5,C[n+](cccc1)c1N,10.775646,1,[OH]/N=C/c1ccccc1,0,1,"[[1], [], [], [], [], [0], [], []]"
5,C[n+](cccc1)c1N,4.466847,2,[OH]/[NH+]=C/c1ccccc1,0,2,"[[], [1], [], [], [], [0], [], []]"
6,CC(c1[n+](C)cccc1)(O)O,12.296698,8,C[n+](cccc1)c1[NH2],0,8,"[[7], [], [7], [], [], [], [], []]"
6,CC(c1[n+](C)cccc1)(O)O,0.8813462,8,C[n+](cccc1)c1[NH3+],0,9,"[[], [7], [7], [], [], [], [], []]"
8,Oc1c(/C=N/O)cccc1,9.565855,12,[NH2]C(c1cc[n+](COC[n+]2c(/C=N/[O-])cccc2)cc1)=O,0,14,"[[12], [], [], [], [13], [], [], []]"
